1	896303	0.315
2	896304	0.538
2	896305	0.902
3	896306	0.709
3	896307	0.504
4	896308	0.94
5	896309	0.366
6	896310	0.313
7	896311	0.986
7	896312	0.699
7	896313	0.35
7	896314	0.935
7	896315	0.613
7	896316	0.631
7	896317	0.711
7	896318	0.43
7	896319	0.386
7	896320	0.754
7	896321	0.319
7	896322	0.552
7	896323	0.959
7	896324	0.24
7	896325	0.773
8	896326	0.723
9	896327	0.747
9	896328	0.504
9	896329	0.436
9	896330	0.527
9	896331	0.195
9	896332	0.624
9	896333	0.88
9	896334	0.952
10	896335	0.965
11	896336	0.734
12	896337	0.082
12	896338	0.607
12	896339	0.767
12	896340	0.527
13	896341	0.409
13	896342	0.917
14	896343	0.834
14	896344	0.87
14	896345	0.582
14	896346	0.349
14	896347	0.311
15	896348	0.631
15	896349	0.97
15	896350	0.706
16	896351	0.301
17	896352	0.85
18	896353	0.933
19	896354	0.648
20	896355	0.57
20	896356	0.715
20	896357	0.49
20	896358	0.849
20	896359	0.697
20	896360	0.525
21	896361	0.145
21	896362	0.762
21	896363	0.998
22	896364	0.617
23	896365	0.657
24	896366	0.515
25	896367	0.642
25	896368	0.473
25	896369	0.46
25	896370	0.841
25	896371	0.135
26	896372	0.727
27	896368	0.462
28	896373	0.322
29	896374	0.344
29	896375	0.6
29	896376	0.775
30	896377	0.169
31	896378	0.639
32	896379	0.275
33	896380	0.505
34	896381	0.461
35	896382	0.7
36	896383	0.606
36	896384	0.491
36	896385	0.986
37	896386	0.617
37	896387	0.66
37	896388	0.34
38	896389	0.416
39	896390	0.506
40	896391	0.2
41	896392	0.345
41	896393	0.987
42	896394	0.714
43	896394	0.701
44	896394	0.517
45	896394	0.364
46	896395	0.72
47	896396	0.782
47	896397	0.933
47	896398	0.626
47	896399	0.512
47	896400	0.384
47	896401	0.274
47	896402	0.064
47	896403	0.949
47	896404	0.839
47	896405	0.751
47	896406	0.361
48	896407	0.708
49	896408	0.097
49	896409	0.19
49	896410	0.495
49	896411	0.374
49	896412	0.254
49	896413	0.168
49	896414	0.72
49	896415	0.331
49	896416	0.525
49	896417	0.771
49	896418	0.652
49	896419	0.431
49	896420	0.897
49	896421	0.512
49	896422	0.429
49	896423	0.644
49	896424	0.608
50	896425	0.892
51	896426	0.257
52	896427	0.583
53	896428	0.828
53	896429	0.648
54	896430	0.388
55	896431	0.777
56	896432	0.439
57	896433	0.746
58	896434	0.14
58	896435	0.17
59	896436	0.308
60	896437	0.261
61	896438	0.367
62	896439	0.682
62	896440	0.951
62	896441	0.531
62	896442	0.613
62	896443	0.097
62	896444	0.378
62	896445	0.515
62	896446	0.088
62	896447	0.786
63	896448	0.643
64	896449	0.176
64	896450	0.356
64	896451	0.343
64	896452	0.522
64	896453	0.752
64	896454	0.303
65	896455	0.805
65	896456	0.689
65	896457	0.969
65	896458	0.596
65	896459	0.268
65	896460	0.8
65	896461	0.767
65	896462	0.818
65	896463	0.962
66	896464	0.423
66	896465	0.164
66	896466	0.913
66	896467	0.628
66	896468	0.628
66	896469	0.545
66	896470	0.446
66	896471	0.792
66	896472	0.112
66	896473	0.432
66	896474	0.935
66	896475	0.371
66	896476	0.542
67	896477	0.759
67	896478	0.967
67	896479	0.817
67	896480	0.64
68	896481	0.765
69	896482	0.743
70	896483	0.914
70	896484	0.426
70	896485	0.772
71	896486	0.07
71	896487	0.025
72	896488	0.465
73	896489	0.676
74	896490	0.568
75	896491	0.913
76	896492	0.401
76	896493	0.269
77	896494	0.257
78	896494	0.138
79	896495	0.673
80	896496	0.397
80	896497	0.495
80	896498	0.291
81	896499	0.403
82	896500	0.484
83	896501	0.74
84	896502	0.444
84	896503	0.268
84	896504	0.339
84	896505	0.551
84	896506	0.237
84	896507	0.947
84	896508	0.632
84	896509	0.598
84	896510	0.906
84	896511	0.187
84	896512	0.633
84	896513	0.826
